2025-07-11 17:34:45,474 - INFO - Running kde for file: j200_r0.25_Esn_kjContinuousBeta_m0
2025-07-11 17:34:45,476 - INFO - Number of biomarkers: 10
2025-07-11 17:34:48,907 - INFO - Iteration 20/200, Acceptance Ratio: 20.00%, Log Likelihood: -7288.2751, Current Accepted Order: dict_values([np.int64(3), np.int64(6), np.int64(1), np.int64(8), np.int64(4), np.int64(10), np.int64(5), np.int64(9), np.int64(2), np.int64(7)]), 
2025-07-11 17:34:50,815 - INFO - Iteration 40/200, Acceptance Ratio: 32.50%, Log Likelihood: -6425.8325, Current Accepted Order: dict_values([np.int64(2), np.int64(5), np.int64(1), np.int64(6), np.int64(3), np.int64(4), np.int64(10), np.int64(7), np.int64(8), np.int64(9)]), 
2025-07-11 17:34:52,723 - INFO - Iteration 60/200, Acceptance Ratio: 21.67%, Log Likelihood: -6425.8325, Current Accepted Order: dict_values([np.int64(2), np.int64(5), np.int64(1), np.int64(6), np.int64(3), np.int64(4), np.int64(10), np.int64(7), np.int64(8), np.int64(9)]), 
2025-07-11 17:34:54,632 - INFO - Iteration 80/200, Acceptance Ratio: 17.50%, Log Likelihood: -6367.4187, Current Accepted Order: dict_values([np.int64(2), np.int64(5), np.int64(1), np.int64(4), np.int64(3), np.int64(6), np.int64(10), np.int64(7), np.int64(8), np.int64(9)]), 
2025-07-11 17:34:56,541 - INFO - Iteration 100/200, Acceptance Ratio: 14.00%, Log Likelihood: -6367.4187, Current Accepted Order: dict_values([np.int64(2), np.int64(5), np.int64(1), np.int64(4), np.int64(3), np.int64(6), np.int64(10), np.int64(7), np.int64(8), np.int64(9)]), 
2025-07-11 17:34:58,448 - INFO - Iteration 120/200, Acceptance Ratio: 13.33%, Log Likelihood: -6313.0891, Current Accepted Order: dict_values([np.int64(2), np.int64(5), np.int64(1), np.int64(3), np.int64(4), np.int64(6), np.int64(8), np.int64(7), np.int64(10), np.int64(9)]), 
2025-07-11 17:35:00,356 - INFO - Iteration 140/200, Acceptance Ratio: 12.14%, Log Likelihood: -6300.2665, Current Accepted Order: dict_values([np.int64(2), np.int64(3), np.int64(1), np.int64(5), np.int64(4), np.int64(6), np.int64(8), np.int64(7), np.int64(10), np.int64(9)]), 
2025-07-11 17:35:02,266 - INFO - Iteration 160/200, Acceptance Ratio: 13.12%, Log Likelihood: -6219.8852, Current Accepted Order: dict_values([np.int64(2), np.int64(5), np.int64(1), np.int64(4), np.int64(3), np.int64(6), np.int64(9), np.int64(8), np.int64(10), np.int64(7)]), 
2025-07-11 17:35:04,178 - INFO - Iteration 180/200, Acceptance Ratio: 12.78%, Log Likelihood: -6202.0058, Current Accepted Order: dict_values([np.int64(2), np.int64(6), np.int64(1), np.int64(3), np.int64(4), np.int64(5), np.int64(9), np.int64(8), np.int64(10), np.int64(7)]), 
2025-07-11 17:35:06,086 - INFO - Iteration 200/200, Acceptance Ratio: 11.50%, Log Likelihood: -6202.0058, Current Accepted Order: dict_values([np.int64(2), np.int64(6), np.int64(1), np.int64(3), np.int64(4), np.int64(5), np.int64(9), np.int64(8), np.int64(10), np.int64(7)]), 
2025-07-11 17:35:06,552 - INFO - Results saved to local_results/kde/results/j200_r0.25_Esn_kjContinuousBeta_m0_results.json
